Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,GBPINR,1052485,FUTCUR,,,GBPINR,GBPINR20FEB26F,GBPINR 20th FEB26 FUT,2026-02-20,1,0.0025
BCD,bcs_fo,GBPINR,1046159,FUTCUR,,,GBPINR,GBPINR09JAN26F,GBPINR 9th JAN26 FUT,2026-01-09,1,0.0025
BCD,bcs_fo,GBPINR,1051043,FUTCUR,,,GBPINR,GBPINR13FEB26F,GBPINR 13th FEB26 FUT,2026-02-13,1,0.0025
BCD,bcs_fo,GBPINR,1045565,FUTCUR,,,GBPINR,GBPINR02JAN26F,GBPINR 2nd JAN26 FUT,2026-01-02,1,0.0025
BCD,bcs_fo,GBPINR,1048883,FUTCUR,,,GBPINR,GBPINR30JAN26F,GBPINR 30th JAN26 FUT,2026-01-30,1,0.0025
BCD,bcs_fo,GBPINR,1049639,FUTCUR,,,GBPINR,GBPINR06FEB26F,GBPINR 6th FEB26 FUT,2026-02-06,1,0.0025
BCD,bcs_fo,GBPINR,1044598,FUTCUR,,,GBPINR,GBPINR26DEC25F,GBPINR 26th DEC FUT,2025-12-26,1,0.0025
BCD,bcs_fo,GBPINR,1054050,FUTCUR,,,GBPINR,GBPINR06MAR26F,GBPINR 6th MAR26 FUT,2026-03-06,1,0.0025
BCD,bcs_fo,GBPINR,1048275,FUTCUR,,,GBPINR,GBPINR23JAN26F,GBPINR 23rd JAN26 FUT,2026-01-23,1,0.0025
BCD,bcs_fo,GBPINR,1053095,FUTCUR,,,GBPINR,GBPINR27FEB26F,GBPINR 27th FEB26 FUT,2026-02-27,1,0.0025
BCD,bcs_fo,GBPINR,1047196,FUTCUR,,,GBPINR,GBPINR16JAN26F,GBPINR 16th JAN26 FUT,2026-01-16,1,0.0025
BCD,bcs_fo,EURINR,1002330,FUTCUR,,,EURINR,EURINR29DEC25F,EURINR 29th DEC FUT,2025-12-29,1,0.0025
BCD,bcs_fo,EURINR,1006910,FUTCUR,,,EURINR,EURINR28JAN26F,EURINR 28th JAN26 FUT,2026-01-28,1,0.0025
BCD,bcs_fo,EURINR,1010453,FUTCUR,,,EURINR,EURINR25FEB26F,EURINR 25th FEB26 FUT,2026-02-25,1,0.0025
BCD,bcs_fo,EURINR,1014413,FUTCUR,,,EURINR,EURINR27MAR26F,EURINR 27th MAR26 FUT,2026-03-27,1,0.0025
BCD,bcs_fo,EURINR,1019433,FUTCUR,,,EURINR,EURINR28APR26F,EURINR 28th APR26 FUT,2026-04-28,1,0.0025
BCD,bcs_fo,EURINR,1023497,FUTCUR,,,EURINR,EURINR27MAY26F,EURINR 27th MAY26 FUT,2026-05-27,1,0.0025
BCD,bcs_fo,EURINR,1027214,FUTCUR,,,EURINR,EURINR26JUN26F,EURINR 26th JUN26 FUT,2026-06-26,1,0.0025
BCD,bcs_fo,EURINR,1034660,FUTCUR,,,EURINR,EURINR29JUL26F,EURINR 29th JUL26 FUT,2026-07-29,1,0.0025
BCD,bcs_fo,EURINR,1038620,FUTCUR,,,EURINR,EURINR27AUG26F,EURINR 27th AUG26 FUT,2026-08-27,1,0.0025
BCD,bcs_fo,EURINR,1042494,FUTCUR,,,EURINR,EURINR28SEP26F,EURINR 28th SEP26 FUT,2026-09-28,1,0.0025
BCD,bcs_fo,EURINR,1046734,FUTCUR,,,EURINR,EURINR28OCT26F,EURINR 28th OCT26 FUT,2026-10-28,1,0.0025
